Order_Id,Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product,Product_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_Method,Product_Id
1,02-01-2018,10:56:33,8,37077,Female,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,46,4.6,Medium,credit_card,1
2,24-07-2018,20:41:37,2,59173,Female,Web,Member,Car Speakers,Auto & Accessories,211,1,0.3,112,11.2,Medium,credit_card,2
3,08-11-2018,8:38:49,8,41066,Female,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.1,31.2,3.1,Critical,credit_card,3
4,18-04-2018,19:28:06,7,50741,Female,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.3,26.2,2.6,High,credit_card,4
5,13-08-2018,21:18:39,9,53639,Female,Web,Member,Tyre,Auto & Accessories,250,1,0.3,160,16,Critical,credit_card,5
6,09-07-2018,21:57:05,8,39783,Female,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.3,24,2.4,Critical,credit_card,6
7,16-05-2018,13:10:30,1,26767,Female,Web,Member,Car Mat,Auto & Accessories,54,1,0.3,54,5.4,High,credit_card,7
8,23-06-2018,18:29:09,7,20719,Female,Web,Member,Car Seat Covers,Auto & Accessories,114,5,0.2,22.6,2.3,Critical,credit_card,8
9,29-07-2018,11:55:02,7,46947,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,5,0.3,116.4,11.6,Critical,credit_card,9
10,16-05-2018,19:41:10,10,31839,Female,Web,Member,Car Media Players,Auto & Accessories,140,1,0.2,54.4,5.4,Critical,money_order,1
11,13-07-2018,19:58:11,10,22249,Female,Web,Member,Car Speakers,Auto & Accessories,211,4,0.1,122.6,12.3,Critical,credit_card,2
12,07-10-2018,10:06:19,1,15109,Female,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.3,18.3,1.8,High,credit_card,3
13,25-07-2018,17:44:10,7,18622,Female,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.2,35.6,3.6,Critical,credit_card,4
14,01-12-2018,14:14:28,5,56296,Female,Web,Member,Tyre,Auto & Accessories,250,1,0.3,140,14,High,credit_card,5
15,07-10-2018,19:03:12,9,34138,Female,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.1,18,1.8,Medium,credit_card,6
16,02-06-2018,19:00:43,10,51112,Female,Web,Member,Car Mat,Auto & Accessories,54,1,0.1,27,2.7,Critical,credit_card,7
17,26-03-2018,23:41:31,4,57057,Female,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.3,22.6,2.3,High,credit_card,8
18,21-04-2018,0:03:41,7,50942,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,5,0.3,93.3,9.3,High,credit_card,9
19,26-01-2018,15:54:26,7,42384,Female,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,46,4.6,Critical,credit_card,1
20,18-02-2018,14:31:30,6,26127,Female,Web,Member,Car Speakers,Auto & Accessories,211,1,0.2,122.6,12.3,Critical,credit_card,2
21,15-12-2018,8:52:40,4,14449,Female,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.1,31.2,3.1,Critical,credit_card,3
22,03-08-2018,20:37:35,7,16823,Female,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.3,30.9,3.1,High,credit_card,4
23,08-06-2018,7:55:29,6,15976,Female,Web,Member,Tyre,Auto & Accessories,250,4,0.2,150,15,High,credit_card,5
24,09-11-2018,11:44:40,2,51542,Female,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.2,18,1.8,Critical,credit_card,6
25,20-08-2018,23:46:53,8,42676,Female,Web,Member,Car Mat,Auto & Accessories,54,1,0.3,54,5.4,High,money_order,7
26,04-10-2018,0:00:13,4,56593,Female,Web,Member,Car Seat Covers,Auto & Accessories,114,4,0.2,24.9,2.5,Critical,e_wallet,8
27,12-12-2018,1:50:26,8,37689,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,144.1,14.4,Critical,credit_card,9
